Malzeme,Malzeme Açıklaması,Satınalma Açık.,Dönem Başı Miktar,Dönem Başı Tutar,Dönem Giriş Miktar,Dönem Giriş Tutar,Dönem Çıkış Miktar,Dönem Çıkış Tutar,Dönem Miktar,Dönem Tutar,Dönem Sonu Miktar,Dönem Sonu Tutar,Marka,depo
52C0776,KHS 63/36*1300+OEB+ÖEBK HİD.SİLİNDİR MAG,ÇMS - 16903215,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0777,KHS 80/56*1500+ÖFB HİD.SİLİNDİR  MAG,ÇMS - 16905095,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0798,KHS 50/36*75 HİD. SİLİNDİR  MAG,KHS 50/36*75 HİD. SİLİNDİR  MAG,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0824,KHS 40/28-615 HİDROLİK SİLİNDİR-H0537,16900120-AKYAPAK-H0537,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0825,KHS 50/36-1220 HİDROLİK SİLİNDİR-H0555,16901212-AKYAPAK-H0555,0,0,26,"172,213.79",26,"172,213.79",0,0,0,0,MAG,BURSA
52C0827,KHS 50/28-300-RH HİD.SİL.-H0466,16901076-AKYAPAK-H0466,0,0,96,"318,960.84",96,"318,960.84",0,0,0,0,MAG,BURSA
52C0864,KHS 40/28-1050 HİDROLİK SİLİNDİR-H0563,16900212-AKYAPAK-H0563,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0872,KHS 40/22-197-RH HİD.SİL-H0586,16900213-AKYAPAK-H0586,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0876,KHS 40/22*100 HİD.SİLİNDİR+ÖFB  MAG,16900214,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0885,KHS 50*10 + ÖFB'Lİ HİDROLİK SİLİNDİR MAG,KHS,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0887,KHS 80*160+ÖFB  HİDROLİK SİLİNDİR,KHS,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0922,KHS 50/28-325-RH HİD.SİL-H0437,16901073-AKYAPAK-H0437,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0934,MAG,KHS 40/22*200 +ÖEBK+AEBK HİD.SİL.,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0987,MAG,16905101,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0988,KHS 100/70*250 HİD.SİLİNDİR - MAG,16907118,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0996,KHS 80*1500+ÖFB HİD.SİLİNDİR  MAG,16905099,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C1002,KHS 40/28-350 HİD.SİLİNDİR,16900109-AKYAPAK-H0470,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C1037,KHS 50/36-80-RH  HİD.SİL.-H0587,16901144-AKYAPAK-H0587,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C1116,KHS  80/56*500 HİD.SİL. ARKA KAPAK ÖZEL,16905085,1,452.23,1,467.7,2,919.93,-1,-452.23,0,0,MAG,BURSA
52C1119,KHS 40/28-300 HİDROLİK SİLİNDİR-H0589,16900220-AKYAPAK-H0589,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C1130,KHS 50/36-1110 HİDROLİK SİLİNDİR-H0593,16901147-AKYAPAK-H0593,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C1179,KHS 40/22-100+AEB+ÖEB HİDROLİK SİLİNDİR,MAG -16900223,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
